AW1,AW2,AW3
32.019,34.686,32.813
42.767,64.655,68.137
30.45,41.825,28.89
40.197,51.514,56.722
24.791,24.193,26.252
34.706,60.87,54.76
65.793,118.003,115.12
43.483,56.79,59.624
48.406,56.731,54.79
34.696,31.489,36.432
38.403,43.542,29.9
42.894,51.22,57.526
43.934,66.018,61.086
37.059,60.517,56.8
43.385,74.521,66.872
48.837,48.357,43.443
51.23,62.478,62.87
55.535,68.725,72.314
38.491,65.734,66.97
49.573,68.441,70.147
46.709,71.098,65.244
41.266,37.471,49.435
30.126,61.635,65.097
57.418,52.269,55.3
36.412,35.706,38.089
35.0,40.462,37.383
